tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
1,trade,K-00,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
1,trade,K-01,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
1,bribe_accept,K-00,,M-00,319,,,success,,,,,40.550000000000004,,,
1,bribe_accept,K-01,,M-01,323,,,success,,,,,41.5,,,
1,bribe_accept,K-00,,M-02,319,,,success,,,,,36.45,,,
1,bribe_accept,K-01,,M-03,323,,,success,,,,,33.4,,,
1,bribe_accept,K-00,,M-04,319,,,success,,,,,30.25,,,
1,bribe_accept,K-01,,M-05,323,,,success,,,,,35.6,,,
1,bribe_accept,K-00,,M-06,319,,,success,,,,,32.05,,,
1,bribe_accept,K-01,,M-07,323,,,success,,,,,32.8,,,
1,bribe_accept,K-00,,M-08,319,,,success,,,,,30.900000000000002,,,
1,bribe_accept,K-01,,M-09,323,,,success,,,,,26.5,,,
1,bribe_accept,K-00,,M-10,319,,,success,,,,,28.0,,,
1,bribe_accept,K-01,,M-11,323,,,success,,,,,25.85,,,
1,bribe_accept,K-00,,M-12,319,,,success,,,,,24.35,,,
1,bribe_accept,K-01,,M-13,323,,,success,,,,,20.950000000000003,,,
2,trade,K-00,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
2,trade,K-01,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
2,bribe_accept,K-00,,M-00,319,,,success,,,,,22.950000000000003,,,
2,bribe_accept,K-01,,M-01,323,,,success,,,,,24.3,,,
2,bribe_accept,K-00,,M-02,319,,,success,,,,,20.05,,,
2,bribe_accept,K-01,,M-03,323,,,success,,,,,17.400000000000002,,,
2,bribe_accept,K-00,,M-04,319,,,success,,,,,14.650000000000002,,,
2,bribe_accept,K-01,,M-05,323,,,success,,,,,20.0,,,
2,bribe_accept,K-00,,M-06,319,,,success,,,,,17.65,,,
2,bribe_accept,K-01,,M-07,323,,,success,,,,,18.0,,,
2,bribe_accept,K-00,,M-08,319,,,success,,,,,16.9,,,
2,bribe_accept,K-01,,M-09,323,,,success,,,,,12.9,,,
2,bribe_accept,K-00,,M-10,319,,,success,,,,,15.200000000000001,,,
2,bribe_accept,K-01,,M-11,323,,,success,,,,,13.450000000000001,,,
2,bribe_accept,K-00,,M-12,319,,,success,,,,,12.75,,,
2,bribe_accept,K-01,,M-13,323,,,success,,,,,9.75,,,
3,trade,K-00,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
3,trade,K-01,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
3,bribe_accept,K-00,,M-00,319,,,success,,,,,12.55,,,
3,bribe_accept,K-01,,M-01,323,,,success,,,,,14.3,,,
3,bribe_accept,K-00,,M-02,319,,,success,,,,,10.850000000000001,,,
3,bribe_accept,K-01,,M-03,323,,,success,,,,,8.600000000000001,,,
3,bribe_accept,K-00,,M-04,319,,,success,,,,,6.65,,,
3,bribe_accept,K-01,,M-05,323,,,success,,,,,12.4,,,
3,bribe_accept,K-00,,M-06,319,,,success,,,,,10.850000000000001,,,
3,bribe_accept,K-01,,M-07,323,,,success,,,,,11.2,,,
3,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,11.3,319,,
3,defend_win,K-00,N-01,M-08,,93,0.8175744761936437,knight wins (p=0.818),,,,,,,,
3,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,7.300000000000001,319,,
3,defend_win,K-00,N-01,M-09,,102,0.9370266439430035,knight wins (p=0.937),,,,,,,,
3,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,10.8,319,,
3,defend_win,K-00,N-01,M-10,,111,0.8909031788043871,knight wins (p=0.891),,,,,,,,
3,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
3,defend_win,K-00,N-01,M-11,,122,0.9168273035060777,knight wins (p=0.917),,,,,,,,
3,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
3,defend_win,K-00,N-01,M-12,,134,0.8581489350995123,knight wins (p=0.858),,,,,,,,
3,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,6.550000000000001,319,,
3,defend_win,K-00,N-01,M-13,,147,0.9370266439430035,knight wins (p=0.937),,,,,,,,
4,trade,K-00,,,,,,"invested 100, created 5 wealth",,,100,5,,,,
4,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,10.55,319,,
4,defend_win,K-00,N-01,M-00,,196,0.95,knight wins (p=0.950),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,12.3,319,,
4,defend_win,K-00,N-01,M-01,,217,0.8581489350995123,knight wins (p=0.858),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
4,defend_win,K-00,N-01,M-02,,235,0.8581489350995123,knight wins (p=0.858),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
4,defend_win,K-00,N-01,M-03,,261,0.95,knight wins (p=0.950),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
4,defend_win,K-00,N-01,M-04,,284,0.95,knight wins (p=0.950),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,12.8,319,,
4,defend_win,K-00,N-01,M-05,,316,0.8909031788043871,knight wins (p=0.891),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,12.05,319,,
4,defend_win,K-00,N-01,M-06,,343,0.8909031788043871,knight wins (p=0.891),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,12.8,319,,
4,defend_win,K-00,N-01,M-07,,379,0.7685247834990175,knight wins (p=0.769),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,12.3,319,,
4,defend_win,K-00,N-01,M-08,,377,0.8581489350995123,knight wins (p=0.858),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
4,defend_win,K-00,N-01,M-09,,414,0.9370266439430035,knight wins (p=0.937),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,11.8,319,,
4,defend_win,K-00,N-01,M-10,,454,0.9168273035060777,knight wins (p=0.917),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,10.05,319,,
4,defend_win,K-00,N-01,M-11,,498,0.9370266439430035,knight wins (p=0.937),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,10.55,319,,
4,defend_win,K-00,N-01,M-12,,546,0.8909031788043871,knight wins (p=0.891),,,,,,,,
4,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
4,defend_win,K-00,N-01,M-13,,599,0.9370266439430035,knight wins (p=0.937),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,9.55,319,,
5,defend_win,K-00,N-01,M-00,,688,0.95,knight wins (p=0.950),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,11.3,319,,
5,defend_win,K-00,N-01,M-01,,756,0.8909031788043871,knight wins (p=0.891),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
5,defend_win,K-00,N-01,M-02,,827,0.8581489350995123,knight wins (p=0.858),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
5,defend_win,K-00,N-01,M-03,,909,0.95,knight wins (p=0.950),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
5,defend_win,K-00,N-01,M-04,,995,0.95,knight wins (p=0.950),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,11.8,319,,
5,defend_win,K-00,N-01,M-05,,1095,0.9168273035060777,knight wins (p=0.917),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,11.05,319,,
5,defend_win,K-00,N-01,M-06,,1197,0.9168273035060777,knight wins (p=0.917),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,11.8,319,,
5,defend_win,K-00,N-01,M-07,,1314,0.8175744761936437,knight wins (p=0.818),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,11.3,319,,
5,defend_win,K-00,N-01,M-08,,1406,0.8909031788043871,knight wins (p=0.891),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
5,defend_win,K-00,N-01,M-09,,1543,0.9370266439430035,knight wins (p=0.937),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,10.8,319,,
5,defend_win,K-00,N-01,M-10,,1691,0.9370266439430035,knight wins (p=0.937),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
5,defend_win,K-00,N-01,M-11,,1854,0.95,knight wins (p=0.950),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
5,defend_win,K-00,N-01,M-12,,2036,0.9168273035060777,knight wins (p=0.917),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
5,defend_win,K-00,N-01,M-13,,2239,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
6,defend_win,K-00,N-01,M-00,,2474,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,10.3,319,,
6,defend_win,K-00,N-01,M-01,,2714,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
6,defend_win,K-00,N-01,M-02,,2982,0.8581489350995123,knight wins (p=0.858),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
6,defend_win,K-00,N-01,M-03,,3280,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
6,defend_win,K-00,N-01,M-04,,3608,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,10.8,319,,
6,defend_win,K-00,N-01,M-05,,3969,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,10.05,319,,
6,defend_win,K-00,N-01,M-06,,4366,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,10.8,319,,
6,defend_win,K-00,N-01,M-07,,4803,0.8581489350995123,knight wins (p=0.858),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,10.3,319,,
6,defend_win,K-00,N-01,M-08,,5283,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
6,defend_win,K-00,N-01,M-09,,5811,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,9.8,319,,
6,defend_win,K-00,N-01,M-10,,6392,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
6,defend_win,K-00,N-01,M-11,,7032,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
6,defend_win,K-00,N-01,M-12,,7735,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
6,defend_win,K-00,N-01,M-13,,8508,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
7,defend_win,K-00,N-01,M-00,,9359,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
7,defend_win,K-00,N-01,M-01,,10295,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
7,defend_win,K-00,N-01,M-02,,11324,0.8581489350995123,knight wins (p=0.858),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
7,defend_win,K-00,N-01,M-03,,12457,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
7,defend_win,K-00,N-01,M-04,,13703,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,9.8,319,,
7,defend_win,K-00,N-01,M-05,,15073,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
7,defend_win,K-00,N-01,M-06,,16580,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
7,defend_win,K-00,N-01,M-07,,18238,0.8909031788043871,knight wins (p=0.891),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
7,defend_win,K-00,N-01,M-08,,20062,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
7,defend_win,K-00,N-01,M-09,,22068,0.9370266439430035,knight wins (p=0.937),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
7,defend_win,K-00,N-01,M-10,,24275,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
7,defend_win,K-00,N-01,M-11,,26702,0.95,knight wins (p=0.950),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
7,defend_win,K-00,N-01,M-12,,29373,0.9168273035060777,knight wins (p=0.917),,,,,,,,
7,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
7,defend_win,K-00,N-01,M-13,,32310,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
8,defend_win,K-00,N-01,M-00,,35541,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
8,defend_win,K-00,N-01,M-01,,39095,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
8,defend_win,K-00,N-01,M-02,,43005,0.8581489350995123,knight wins (p=0.858),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
8,defend_win,K-00,N-01,M-03,,47305,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
8,defend_win,K-00,N-01,M-04,,52036,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
8,defend_win,K-00,N-01,M-05,,57239,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
8,defend_win,K-00,N-01,M-06,,62963,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
8,defend_win,K-00,N-01,M-07,,69259,0.8909031788043871,knight wins (p=0.891),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
8,defend_win,K-00,N-01,M-08,,76185,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
8,defend_win,K-00,N-01,M-09,,83804,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
8,defend_win,K-00,N-01,M-10,,92184,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
8,defend_win,K-00,N-01,M-11,,101403,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
8,defend_win,K-00,N-01,M-12,,111543,0.9168273035060777,knight wins (p=0.917),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
8,defend_win,K-00,N-01,M-13,,122697,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
9,defend_win,K-00,N-01,M-00,,134967,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
9,defend_win,K-00,N-01,M-01,,148464,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
9,defend_win,K-00,N-01,M-02,,163310,0.8581489350995123,knight wins (p=0.858),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
9,defend_win,K-00,N-01,M-03,,179641,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
9,defend_win,K-00,N-01,M-04,,197605,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
9,defend_win,K-00,N-01,M-05,,217366,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
9,defend_win,K-00,N-01,M-06,,239102,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
9,defend_win,K-00,N-01,M-07,,263012,0.8909031788043871,knight wins (p=0.891),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
9,defend_win,K-00,N-01,M-08,,289314,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
9,defend_win,K-00,N-01,M-09,,318245,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
9,defend_win,K-00,N-01,M-10,,350069,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
9,defend_win,K-00,N-01,M-11,,385076,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
9,defend_win,K-00,N-01,M-12,,423584,0.9168273035060777,knight wins (p=0.917),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
9,defend_win,K-00,N-01,M-13,,465942,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
10,defend_win,K-00,N-01,M-00,,512537,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-01,,563790,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
10,defend_win,K-00,N-01,M-02,,620169,0.8581489350995123,knight wins (p=0.858),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
10,defend_win,K-00,N-01,M-03,,682186,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
10,defend_win,K-00,N-01,M-04,,750405,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
10,defend_win,K-00,N-01,M-05,,825445,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
10,defend_win,K-00,N-01,M-06,,907990,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
10,defend_win,K-00,N-01,M-07,,998789,0.8909031788043871,knight wins (p=0.891),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-08,,1098668,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
10,defend_win,K-00,N-01,M-09,,1208534,0.9370266439430035,knight wins (p=0.937),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
10,defend_win,K-00,N-01,M-10,,1329388,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
10,defend_win,K-00,N-01,M-11,,1462327,0.95,knight wins (p=0.950),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
10,defend_win,K-00,N-01,M-12,,1608559,0.9168273035060777,knight wins (p=0.917),,,,,,,,
10,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
10,defend_win,K-00,N-01,M-13,,1769415,0.9370266439430035,knight wins (p=0.937),,,,,,,,
