id,role,currency,compute,copy,defend,raid,trade,sense,adapt,wealth_total,employer,retainer_fee,bribe_threshold,alive
M-00,mercenary,0,2,3,1,14,0,5,7,32,,0,0,True
N-00,knight,346,6,2,14,2,0,8,5,37,K-06,22,0,True
N-01,knight,16387076718376453557715751579335000982451800933701358369184193647609302250771502049852875208466572962349840532552512681542495735,6,4,18,3,0,8,5,44,K-00,25,0,True
K-00,king,24,0,0,32,0,24,0,0,56,,0,310,True
M-01,mercenary,0,3,4,2,14,0,9,6,38,,0,0,True
M-02,mercenary,0,2,6,5,14,4,9,7,47,,0,0,True
K-01,king,4,2,2,20,0,15,0,0,39,,0,481,True
M-03,mercenary,0,2,3,1,12,0,8,7,33,,0,0,True
M-04,mercenary,0,1,6,0,14,0,5,5,31,,0,0,True
M-05,mercenary,0,1,6,2,13,0,9,6,37,,0,0,True
M-06,mercenary,0,3,3,2,14,0,9,4,35,,0,0,True
M-07,mercenary,0,3,6,1,12,0,6,7,35,,0,0,True
M-08,mercenary,0,3,6,1,14,0,6,5,35,,0,0,True
M-09,mercenary,0,1,4,2,12,0,8,7,34,,0,0,True
M-10,mercenary,0,2,5,0,14,0,7,4,32,,0,0,True
M-11,mercenary,0,1,3,2,12,0,6,5,29,,0,0,True
M-12,mercenary,0,1,3,0,13,0,9,5,31,,0,0,True
N-02,knight,1442852572,6,2,18,77,0,10,5,118,K-07,21,0,True
M-13,mercenary,0,1,4,1,14,0,5,4,29,,0,0,True
M-14,mercenary,0,1,3,2,14,0,8,6,34,,0,0,True
M-15,mercenary,0,3,5,0,14,0,8,6,36,,0,0,True
M-16,mercenary,0,2,3,2,14,0,9,4,34,,0,0,True
M-17,mercenary,0,1,5,1,14,0,8,7,36,,0,0,True
N-03,knight,180611894,3,3,14,8,0,10,5,43,K-05,21,0,True
M-18,mercenary,0,3,4,1,13,0,6,5,32,,0,0,True
M-19,mercenary,0,1,6,2,14,0,5,6,34,,0,0,True
N-04,knight,259,3,4,19,2,0,7,6,41,K-02,29,0,True
K-02,king,25,0,5,16,0,9,0,0,30,,0,476,True
N-05,knight,340,6,2,18,1,0,10,7,44,K-01,21,0,True
M-20,mercenary,0,3,6,2,14,0,5,7,37,,0,0,True
N-06,knight,364,5,4,17,1,0,8,4,39,K-01,23,0,True
N-07,knight,250,6,2,13,1,0,10,7,39,K-09,25,0,True
M-21,mercenary,0,2,4,0,14,0,7,4,31,,0,0,True
N-08,knight,392,5,3,15,1,0,8,5,37,K-03,22,0,True
M-22,mercenary,0,1,3,0,13,0,5,6,28,,0,0,True
N-09,knight,243,3,4,20,2,0,10,4,43,K-07,23,0,True
M-23,mercenary,0,3,5,2,13,0,6,4,33,,0,0,True
N-10,knight,159721,5,3,17,22,0,9,7,63,K-04,25,0,True
M-24,mercenary,0,3,3,2,14,0,9,6,37,,0,0,True
M-25,mercenary,0,2,3,0,14,0,8,6,33,,0,0,True
K-03,king,16,3,4,13,0,10,0,0,30,,0,477,True
N-11,knight,411,6,4,16,1,0,10,7,44,K-05,29,0,True
M-26,mercenary,0,2,6,2,14,0,5,6,35,,0,0,True
N-12,knight,271,4,3,16,3,0,7,4,37,K-02,29,0,True
M-27,mercenary,0,1,5,2,14,0,9,4,35,,0,0,True
N-13,knight,339,4,4,18,3,0,10,4,43,K-09,24,0,True
K-04,king,10,0,3,21,0,16,0,0,40,,0,315,True
M-28,mercenary,0,1,4,0,14,0,5,4,28,,0,0,True
N-14,knight,346,3,4,20,3,0,9,5,44,K-08,29,0,True
M-29,mercenary,0,1,5,2,14,0,7,6,35,,0,0,True
K-05,king,14,1,2,28,0,18,0,0,49,,0,457,True
M-30,mercenary,0,1,6,1,14,0,8,4,34,,0,0,True
K-06,king,20,0,4,16,0,12,0,0,32,,0,387,True
M-31,mercenary,0,2,4,0,12,0,7,7,32,,0,0,True
M-32,mercenary,0,3,5,2,13,0,8,4,35,,0,0,True
M-33,mercenary,0,1,3,0,14,0,9,7,34,,0,0,True
K-07,king,9,2,2,18,0,16,0,0,38,,0,452,True
M-34,mercenary,0,3,3,0,14,0,9,5,34,,0,0,True
M-35,mercenary,0,3,5,1,14,0,8,6,37,,0,0,True
M-36,mercenary,0,3,6,2,14,0,8,4,37,,0,0,True
M-37,mercenary,0,2,3,2,14,0,5,5,31,,0,0,True
M-38,mercenary,0,2,5,0,14,0,6,6,33,,0,0,True
M-39,mercenary,0,2,5,0,14,0,9,4,34,,0,0,True
M-40,mercenary,0,3,4,0,14,0,9,7,37,,0,0,True
N-15,knight,414,3,2,12,1,0,7,6,31,K-06,28,0,True
M-41,mercenary,0,3,3,0,12,0,9,5,32,,0,0,True
M-42,mercenary,0,3,5,1,14,0,7,4,34,,0,0,True
M-43,mercenary,0,2,3,0,12,0,7,6,30,,0,0,True
M-44,mercenary,0,3,4,0,13,0,5,5,30,,0,0,True
M-45,mercenary,0,3,5,0,13,0,9,7,37,,0,0,True
M-46,mercenary,0,3,4,4,14,2,7,7,41,,0,0,True
N-16,knight,234,5,4,18,1,0,8,6,42,K-03,28,0,True
M-47,mercenary,0,2,6,1,13,0,7,7,36,,0,0,True
K-08,king,21,2,3,11,0,9,0,0,25,,0,463,True
M-48,mercenary,0,3,5,1,14,0,7,5,35,,0,0,True
M-49,mercenary,0,2,5,0,14,0,8,5,34,,0,0,True
M-50,mercenary,0,2,4,1,14,0,9,4,34,,0,0,True
M-51,mercenary,0,2,7,3,14,2,8,7,43,,0,0,True
M-52,mercenary,0,1,4,1,14,0,6,6,32,,0,0,True
K-09,king,1,1,4,11,0,8,0,0,24,,0,461,True
M-53,mercenary,0,3,5,0,13,0,5,6,32,,0,0,True
M-54,mercenary,0,1,4,0,14,0,8,5,32,,0,0,True
N-17,knight,573,5,3,14,1,0,8,4,35,K-00,29,0,True
M-55,mercenary,0,2,4,2,14,0,5,6,33,,0,0,True
M-56,mercenary,0,3,5,1,14,0,8,6,37,,0,0,True
N-18,knight,343,6,3,16,3,0,8,7,43,K-04,24,0,True
M-57,mercenary,0,2,3,1,14,0,8,6,34,,0,0,True
M-58,mercenary,0,3,3,1,14,0,5,7,33,,0,0,True
M-59,mercenary,0,3,5,0,13,0,8,4,33,,0,0,True
M-60,mercenary,0,3,3,0,12,0,8,7,33,,0,0,True
M-61,mercenary,0,3,6,1,13,0,7,4,34,,0,0,True
M-62,mercenary,0,2,4,2,14,0,5,5,32,,0,0,True
N-19,knight,180,5,2,16,3,0,9,7,42,K-08,28,0,True
M-63,mercenary,0,3,4,1,12,0,8,6,34,,0,0,True
M-64,mercenary,0,3,3,1,14,0,7,7,35,,0,0,True
M-65,mercenary,0,2,4,2,14,0,5,5,32,,0,0,True
M-66,mercenary,0,2,3,2,12,0,5,5,29,,0,0,True
M-67,mercenary,0,2,3,0,13,0,6,7,31,,0,0,True
M-68,mercenary,0,1,4,0,14,0,7,6,32,,0,0,True
M-69,mercenary,0,3,6,1,14,0,5,4,33,,0,0,True
